Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2/7/21,US,430819,276238,148019,47516508,35540667,11263266,956394,1589910,613966,null,null,148032,35540667,11264265,614006
Report,2/7/21,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
Admin,2/7/21,LTC,65482,30165,34755,5076952,3839233,1204467,83851,164503,79518,null,null,34755,3839233,1204468,79518
Admin,2/8/21,US,1493428,816523,662482,49009936,36357190,11925748,970406,1622489,633496,null,null,662515,36357190,11926780,633528
Report,2/8/21,US,null,null,null,null,null,null,null,null,null,1206680,1456459,null,null,null,null
Admin,2/8/21,LTC,161703,73299,87008,5238655,3912532,1291475,81698,162698,79798,null,null,87008,3912532,1291476,79797
Admin,2/9/21,US,1878588,1016355,846536,50888524,37373545,12772284,981832,1660239,660493,null,null,846572,37373545,12773352,660524
Report,2/9/21,US,null,null,null,null,null,null,null,null,null,788573,1489333,null,null,null,null
Admin,2/9/21,LTC,169321,74794,93095,5407976,3987326,1384570,78597,159971,80177,null,null,93095,3987326,1384571,80176
Admin,2/10/21,US,2193507,1197127,979101,53082031,38570672,13751385,975950,1679539,687296,null,null,979141,38570672,13752493,687329
Report,2/10/21,US,null,null,null,null,null,null,null,null,null,1563780,1555959,null,null,null,null
Admin,2/10/21,LTC,162425,61113,99402,5570401,4048439,1483972,72861,154621,80543,null,null,99402,4048439,1483973,80542
Admin,2/11/21,US,2296571,1243605,1033339,55378602,39814277,14784724,959466,1686182,711390,null,null,1033393,39814277,14785886,711424
Report,2/11/21,US,null,null,null,null,null,null,null,null,null,1620300,1598080,null,null,null,null
Admin,2/11/21,LTC,159904,62525,96062,5730305,4110964,1580034,67565,148350,79504,null,null,96062,4110964,1580035,79503
Admin,2/12/21,US,2477441,1344874,1104368,57856043,41159151,15889092,961881,1717594,739399,null,null,1104428,41159151,15890314,739437
Report,2/12/21,US,null,null,null,null,null,null,null,null,null,2020288,1655907,null,null,null,null
Admin,2/12/21,LTC,171520,84304,86118,5901825,4195268,1666152,63836,143059,78008,null,null,86118,4195268,1666153,78008
Admin,2/13/21,US,1415523,843090,555852,59271566,42002241,16444944,962545,1740839,761385,null,null,555890,42002241,16446204,761424
Report,2/13/21,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
Admin,2/13/21,LTC,85371,42615,42279,5987196,4237883,1708431,61259,139389,76960,null,null,42279,4237883,1708432,76959
Admin,2/14/21,US,561733,333186,219361,59833299,42335427,16664305,970680,1759541,771577,null,null,219369,42335427,16665573,771615
Report,2/14/21,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2/14/21,LTC,53842,25052,27986,6041038,4262935,1736417,60529,137726,75993,null,null,27986,4262935,1736418,75992
Admin,2/15/21,US,1116022,597717,499789,60949321,42933144,17164094,939422,1705626,748335,null,null,499837,42933144,17165410,748375
Report,2/15/21,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
Admin,2/15/21,LTC,105701,38417,66539,6146739,4301352,1802956,55546,129726,73069,null,null,66539,4301352,1802957,73068
Admin,2/16/21,US,1559529,784337,753511,62508850,43717481,17917605,906277,1660046,735046,null,null,753546,43717481,17918956,735086
Report,2/16/21,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2/16/21,LTC,113326,42362,70009,6260065,4343714,1872965,50913,121727,69771,null,null,70009,4343714,1872966,69770
Admin,2/17/21,US,1896476,920236,953776,64405326,44637717,18871381,866721,1617613,731428,null,null,953826,44637717,18872782,731469
Report,2/17/21,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2/17/21,LTC,117841,40662,75837,6377906,4384376,1948802,47991,115357,66404,null,null,75837,4384376,1948803,66404
Admin,2/18/21,US,1774661,819073,929216,66179987,45456790,19800597,806073,1543055,716553,null,null,929288,45456790,19802070,716597
Report,2/18/21,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2/18/21,LTC,111675,36782,73317,6489581,4421158,2022119,44313,108468,63155,null,null,73317,4421158,2022120,63155
Admin,2/19/21,US,1883387,816349,1040338,68063374,46273139,20840935,730570,1458190,707406,null,null,1040483,46273139,20842553,707462
Report,2/19/21,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2/19/21,LTC,111951,37372,73164,6601532,4458530,2095283,37609,99958,61304,null,null,73164,4458530,2095284,61304
Admin,2/20/21,US,1255020,590472,648546,69318394,46863611,21489481,694481,1435261,720648,null,null,648579,46863611,21491132,720704
